Genus	SubPathway	numKO
8	Methane_metabolism	5
Bacteroides	Methane_metabolism	3
rc4-4	Methane_metabolism	11
[Ruminococcus]	Methane_metabolism	2
Coprococcus	Methane_metabolism	3
4	Fatty_acid_biosynthesis	7
7	Fatty_acid_biosynthesis	7
Lactobacillus	Fatty_acid_biosynthesis	7
5	Fatty_acid_biosynthesis	7
Pseudomonas	Fatty_acid_biosynthesis	9
6	Fatty_acid_biosynthesis	7
Ruminococcus	Fatty_acid_biosynthesis	7
Oscillospira	Fatty_acid_biosynthesis	6
3	Fatty_acid_biosynthesis	6
Turicibacter	Fatty_acid_biosynthesis	6
8	Fatty_acid_biosynthesis	8
Bacteroides	Fatty_acid_biosynthesis	7
rc4-4	Fatty_acid_biosynthesis	6
[Ruminococcus]	Fatty_acid_biosynthesis	6
Coprococcus	Fatty_acid_biosynthesis	6
Turicibacter	Glycine_serine_and_threonine_metabolism	8
4	Polyketide_sugar_unit_biosynthesis	4
7	Polyketide_sugar_unit_biosynthesis	4
5	Polyketide_sugar_unit_biosynthesis	4
Pseudomonas	Polyketide_sugar_unit_biosynthesis	3
6	Polyketide_sugar_unit_biosynthesis	4
Ruminococcus	Polyketide_sugar_unit_biosynthesis	4
3	Polyketide_sugar_unit_biosynthesis	4
Turicibacter	Polyketide_sugar_unit_biosynthesis	4
8	Polyketide_sugar_unit_biosynthesis	4
Bacteroides	Polyketide_sugar_unit_biosynthesis	4
[Ruminococcus]	Polyketide_sugar_unit_biosynthesis	4
Coprococcus	Polyketide_sugar_unit_biosynthesis	4
Ruminococcus	Fructose_and_mannose_metabolism	13
7	Butanoate_metabolism	12
5	Butanoate_metabolism	9
6	Butanoate_metabolism	13
Oscillospira	Butanoate_metabolism	13
Turicibacter	Butanoate_metabolism	6
4	Amino_sugar_and_nucleotide_sugar_metabolism	8
7	Amino_sugar_and_nucleotide_sugar_metabolism	19
Lactobacillus	Amino_sugar_and_nucleotide_sugar_metabolism	12
5	Amino_sugar_and_nucleotide_sugar_metabolism	20
Pseudomonas	Amino_sugar_and_nucleotide_sugar_metabolism	17
6	Amino_sugar_and_nucleotide_sugar_metabolism	22
Ruminococcus	Amino_sugar_and_nucleotide_sugar_metabolism	8
Oscillospira	Amino_sugar_and_nucleotide_sugar_metabolism	12
3	Amino_sugar_and_nucleotide_sugar_metabolism	8
Turicibacter	Amino_sugar_and_nucleotide_sugar_metabolism	13
8	Amino_sugar_and_nucleotide_sugar_metabolism	7
Bacteroides	Amino_sugar_and_nucleotide_sugar_metabolism	12
rc4-4	Amino_sugar_and_nucleotide_sugar_metabolism	6
[Ruminococcus]	Amino_sugar_and_nucleotide_sugar_metabolism	12
Coprococcus	Amino_sugar_and_nucleotide_sugar_metabolism	14
4	Pantothenate_and_CoA_biosynthesis	6
7	Pantothenate_and_CoA_biosynthesis	9
5	Pantothenate_and_CoA_biosynthesis	8
Pseudomonas	Pantothenate_and_CoA_biosynthesis	6
6	Pantothenate_and_CoA_biosynthesis	8
Oscillospira	Pantothenate_and_CoA_biosynthesis	7
Bacteroides	Pantothenate_and_CoA_biosynthesis	6
Coprococcus	Pantothenate_and_CoA_biosynthesis	8
3	Riboflavin_metabolism	5
rc4-4	Propanoate_metabolism	2
5	Purine_metabolism	50
6	Purine_metabolism	50
Oscillospira	Purine_metabolism	41
7	Purine_metabolism	51
[Ruminococcus]	Purine_metabolism	42
Coprococcus	Purine_metabolism	46
4	Purine_metabolism	36
Lactobacillus	Purine_metabolism	42
Pseudomonas	Purine_metabolism	61
Ruminococcus	Purine_metabolism	40
3	Purine_metabolism	34
Turicibacter	Purine_metabolism	32
