Gene	Category	SuperPathway	SubPathway
K00241	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00242	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K18859	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K18860	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00244	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00245	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00246	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00247	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01676	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01677	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01678	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01679	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00025	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00026	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00024	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00116	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01958	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01959	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01960	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01610	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K01596	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00163	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00161	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00162	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00627	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K13997	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
K00169	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)
