Gene	Category	SuperPathway	SubPathway
K03016	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03017	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03007	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03008	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03009	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10570	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10841	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10843	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10844	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03141	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03142	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03143	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03144	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10845	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02202	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06634	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10842	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K07466	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10739	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10740	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10741	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10847	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10849	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10848	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10846	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15075	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03869	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10612	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03872	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03873	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15076	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15077	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08735	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08736	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08737	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08740	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08741	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10864	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08734	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10858	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08739	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10754	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10755	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10756	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10746	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10865	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10866	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10867	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10868	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10605	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20774	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20775	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20776	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K12173	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K11864	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15362	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10728	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20773	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08775	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10897	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04482	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10869	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10870	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10871	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10879	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10880	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10872	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10957	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10958	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10873	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10874	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10959	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10875	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10876	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10877	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10899	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10900	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10901	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10730	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10902	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03165	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10990	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15364	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15365	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15423	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15424	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15425	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K17491	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15426	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19022	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19023	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19024	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19025	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19529	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19528	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10882	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10883	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20777	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15271	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14635	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08991	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10881	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10878	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10998	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10991	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10992	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15078	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10484	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15079	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15080	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15338	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15339	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19026	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19027	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20778	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K11339	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K22420	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K22421	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10884	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10885	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06642	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10777	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10886	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10980	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10982	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10983	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03513	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K00977	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10981	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10887	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19619	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10888	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10889	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10890	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10892	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10893	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10894	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10606	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10896	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10898	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10993	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06054	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K11511	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15360	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K13960	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10891	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10895	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15363	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K11137	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K11832	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15361	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15498	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15499	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15500	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15501	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15502	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15503	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15504	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10667	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20779	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20805	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10595	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03509	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03510	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03511	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03515	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02350	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03508	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K16618	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10573	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10574	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10627	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15505	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15711	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10704	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10580	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10994	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10995	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10903	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10996	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02830	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06662	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02544	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06663	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03155	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10904	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10997	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06640	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10905	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04728	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04451	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02216	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06641	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06645	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05866	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05867	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K16197	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K16198	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06630	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19483	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06632	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02831	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K21944	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02633	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K21945	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06661	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20780	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02543	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15081	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K17336	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K18340	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08862	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19596	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K08857	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20879	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20880	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K22422	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02349	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02331	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10790	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10791	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15340	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15341	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K17815	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K21813	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K21411	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19178	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K20098	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10599	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K12860	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K12861	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K12862	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03574	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K17816	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K17817	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01520	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10807	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10808	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10778	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K13530	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K13531	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03919	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03649	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K21929	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01247	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K13529	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01246	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10563	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05522	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01142	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01151	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05982	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K07462	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01972	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02335	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03701	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03702	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03703	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05984	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03657	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03043	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03046	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K13797	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03040	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03048	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03060	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03723	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03555	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K07456	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03572	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03573	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01141	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03601	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03602	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10857	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02337	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03763	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02338	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02339	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02340	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02341	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02342	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14159	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02343	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02344	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02345	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03111	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06223	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K07458	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03582	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03583	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03581	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03553	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03550	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03551	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01159	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K16898	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K16899	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01160	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04066	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02686	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04067	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02317	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03546	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03547	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04485	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03629	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03655	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03584	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06187	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03631	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03700	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03554	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K15342	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K19789	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04483	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04484	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03552	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10979	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01971	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02469	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02470	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03168	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05787	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03530	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K10906	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K07455	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03557	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04764	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K05788	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03654	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03746	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02346	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03502	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03503	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K04479	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K01356	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02336	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14160	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14161	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14162	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14623	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K12149	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03565	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K02347	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03656	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03658	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03722	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K03724	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K00525	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K00526	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K06881	Genetic Information Processing	Replication and repair	DNA repair and recombination proteins
K14218	Genetic Information Processing	RNA family	Non-coding RNAs
K14219	Genetic Information Processing	RNA family	Non-coding RNAs
K14220	Genetic Information Processing	RNA family	Non-coding RNAs
K14221	Genetic Information Processing	RNA family	Non-coding RNAs
K14222	Genetic Information Processing	RNA family	Non-coding RNAs
K14223	Genetic Information Processing	RNA family	Non-coding RNAs
K14224	Genetic Information Processing	RNA family	Non-coding RNAs
K14225	Genetic Information Processing	RNA family	Non-coding RNAs
K14226	Genetic Information Processing	RNA family	Non-coding RNAs
K14227	Genetic Information Processing	RNA family	Non-coding RNAs
K14228	Genetic Information Processing	RNA family	Non-coding RNAs
K14229	Genetic Information Processing	RNA family	Non-coding RNAs
K14230	Genetic Information Processing	RNA family	Non-coding RNAs
K14231	Genetic Information Processing	RNA family	Non-coding RNAs
K14232	Genetic Information Processing	RNA family	Non-coding RNAs
K14233	Genetic Information Processing	RNA family	Non-coding RNAs
K14234	Genetic Information Processing	RNA family	Non-coding RNAs
K14235	Genetic Information Processing	RNA family	Non-coding RNAs
K14236	Genetic Information Processing	RNA family	Non-coding RNAs
K14237	Genetic Information Processing	RNA family	Non-coding RNAs
K14238	Genetic Information Processing	RNA family	Non-coding RNAs
K14239	Genetic Information Processing	RNA family	Non-coding RNAs
K01977	Genetic Information Processing	RNA family	Non-coding RNAs
K01979	Genetic Information Processing	RNA family	Non-coding RNAs
K01980	Genetic Information Processing	RNA family	Non-coding RNAs
K01985	Genetic Information Processing	RNA family	Non-coding RNAs
K01982	Genetic Information Processing	RNA family	Non-coding RNAs
K01981	Genetic Information Processing	RNA family	Non-coding RNAs
K01984	Genetic Information Processing	RNA family	Non-coding RNAs
K01986	Genetic Information Processing	RNA family	Non-coding RNAs
K14276	Genetic Information Processing	RNA family	Non-coding RNAs
K14277	Genetic Information Processing	RNA family	Non-coding RNAs
K14278	Genetic Information Processing	RNA family	Non-coding RNAs
K14279	Genetic Information Processing	RNA family	Non-coding RNAs
K14280	Genetic Information Processing	RNA family	Non-coding RNAs
K14483	Genetic Information Processing	RNA family	Non-coding RNAs
K14865	Genetic Information Processing	RNA family	Non-coding RNAs
K14866	Genetic Information Processing	RNA family	Non-coding RNAs
K14867	Genetic Information Processing	RNA family	Non-coding RNAs
K14868	Genetic Information Processing	RNA family	Non-coding RNAs
K14869	Genetic Information Processing	RNA family	Non-coding RNAs
K14870	Genetic Information Processing	RNA family	Non-coding RNAs
K14871	Genetic Information Processing	RNA family	Non-coding RNAs
K14872	Genetic Information Processing	RNA family	Non-coding RNAs
K14873	Genetic Information Processing	RNA family	Non-coding RNAs
K14874	Genetic Information Processing	RNA family	Non-coding RNAs
K14875	Genetic Information Processing	RNA family	Non-coding RNAs
K14876	Genetic Information Processing	RNA family	Non-coding RNAs
K14877	Genetic Information Processing	RNA family	Non-coding RNAs
K14878	Genetic Information Processing	RNA family	Non-coding RNAs
K14879	Genetic Information Processing	RNA family	Non-coding RNAs
K14880	Genetic Information Processing	RNA family	Non-coding RNAs
K14881	Genetic Information Processing	RNA family	Non-coding RNAs
K14882	Genetic Information Processing	RNA family	Non-coding RNAs
K14883	Genetic Information Processing	RNA family	Non-coding RNAs
K14884	Genetic Information Processing	RNA family	Non-coding RNAs
K14885	Genetic Information Processing	RNA family	Non-coding RNAs
K14886	Genetic Information Processing	RNA family	Non-coding RNAs
K14887	Genetic Information Processing	RNA family	Non-coding RNAs
K14888	Genetic Information Processing	RNA family	Non-coding RNAs
K14889	Genetic Information Processing	RNA family	Non-coding RNAs
K14890	Genetic Information Processing	RNA family	Non-coding RNAs
K14891	Genetic Information Processing	RNA family	Non-coding RNAs
K14892	Genetic Information Processing	RNA family	Non-coding RNAs
K14893	Genetic Information Processing	RNA family	Non-coding RNAs
K14894	Genetic Information Processing	RNA family	Non-coding RNAs
K14895	Genetic Information Processing	RNA family	Non-coding RNAs
K14896	Genetic Information Processing	RNA family	Non-coding RNAs
K14897	Genetic Information Processing	RNA family	Non-coding RNAs
